주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,운영요일,주차기본시간,주차기본요금(원),추가단위시간,추가단위요금(원),1일주차권요금적용시간,1일주차권요금(원),월정기권요금(원),결제방법,특기사항,관리기관명,전화번호,데이터기준일자,기본요금
1,농수산물도매시장,공영,부설,권선구 세권로 243(권선동),권선구 세권로 243(권선동),748,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,6000,공무원 10000 / 일반 60000(입주자 승용 30000/ 화물12000),카드전용,02:00 ~ 10:00 개방,수원도시공사,031-267-2036,2024-12-31,1000
2,선경도서관,공영,부설,팔달구 신풍로 23번길 68(신풍동),팔달구 신풍로 23번길 68(신풍동),65,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,공무원10000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
3,영통도서관,공영,부설,영통구 영통동 청명로 151번길(영통동),영통구 영통동 청명로 151번길(영통동),79,3,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,100,24시간,3500,공무원10000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
4,시청2부설(의회부지),공영,부설,팔달구 효원로 241(인계동),팔달구 효원로 241(인계동),241,1,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,400,24시간,9500,공무원10000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
5,시청별관,공영,부설,팔달구 효원로 241(인계동),팔달구 효원로 241(인계동),350,1,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,30분 무료,10분,400,24시간,9500,공무원12000,카드전용,평일 18시 이후 일반차량 출입제한,수원도시공사,031-695-0930,2024-12-31,1000
6,시청정문,공영,부설,팔달구 효원로 241(인계동),팔달구 효원로 241(인계동),87,1,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,30분 무료,10분,400,24시간,9500,공무원10000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
7,영통구청,공영,부설,영통구 효원로 407(매탄동),영통구 효원로 407(매탄동),292,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,30분 무료,10분,300,24시간,7000,공무원10000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
8,화성박물관(팔달구청),공영,부설,팔달구 창룡대로 21,팔달구 창룡대로 21,368,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,공무원 10000 / 야간정기권 20000,카드전용,야간정기권 이용자에 한해 토요일/ 일요일/ 공휴일 무료 개방,수원도시공사,031-695-0930,2024-12-31,1000
9,권선구청,공영,부설,권선구 호매실로 12,권선구 호매실로 12,258,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,공무원 10000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
10,광교홍재도서관,공영,부설,영통구 대학로88,영통구 대학로88,53,2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,300,24시간,7000,공무원 10000,카드전용,"07~23시 운영, 운영시간외 및 월요일/ 공휴일 폐쇄",수원도시공사,031-695-0930,2024-12-31,1000
11,일월수목원,공영,부설,장안구 천천동 430,장안구 천천동 430,134,수목원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,2000(30분 무료),180분,1000,24시간,5000,공무원 10000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
12,꽃뫼환승,공영,환승,팔달구 화서동 689-19,팔달구 화서동 689-19,162,환승2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,3500,20000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
13,성대환승(구),공영,환승,장안구 율전동 192-2,장안구 율전동 192-2,160,환승2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,3500,30000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
14,성균관대역환승(신),공영,환승,장안구 율전동 301-1,장안구 율전동 301-1,191,환승1,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,4800,36000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
15,세류역환승,공영,환승,권선구 장지동 45-1,권선구 장지동 45-1,136,환승2,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,3500,30000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
16,화서환승,공영,환승,팔달구 화서동 643,팔달구 화서동 643,290,환승1,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,10분,200,24시간,4800,36000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
17,광교공영,공영,공원,장안구 하광교동 393-2,장안구 하광교동 393-2,360,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,180분,,24시간,5000,없음,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
18,만석공원(만석5),공영,공원,장안구 송죽동 417-24,장안구 송죽동 417-24,104,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,180분,,24시간,5000,주간(9~19시) 20000 / 야간(19시~9시) 20000 / 전일 40000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
19,만석공원 제1,공영,공원,장안구 송죽동 286-1,장안구 송죽동 286-1,76,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,최초 1시간 무료,180분,,24시간,5000,주간(9~19시) 20000 / 야간(19시~9시) 20000 / 전일 40000,카드전용,없음,수원도시공사,031-695-0930,2024-12-31,1000
