시군명,총단속건수,평균단속건수,데이터수,총부과건수,평균부과건수
가평군,3673,306.0833333333333,12,3597,299.75
고양시,278034,23169.5,12,298287,24857.25
과천시,13140,1095.0,12,14900,1241.6666666666667
광명시,103050,8587.5,12,116671,9722.583333333334
광주시,53593,4466.083333333333,12,62813,5234.416666666667
구리시,38188,3182.3333333333335,12,41889,3490.75
군포시,44319,3693.25,12,47863,3988.5833333333335
김포시,148560,12380.0,12,167763,13980.25
남양주시,147007,12250.583333333334,12,169321,14110.083333333334
동두천시,12999,1083.25,12,13125,1093.75
부천시,158008,13167.333333333334,12,178927,14910.583333333334
성남시,310898,25908.166666666668,12,342583,28548.583333333332
수원시,427091,35590.916666666664,12,499831,41652.583333333336
시흥시,198269,16522.416666666668,12,198269,16522.416666666668
안산시,103945,8662.083333333334,12,104923,8743.583333333334
안성시,37873,3156.0833333333335,12,42390,3532.5
안양시,147248,12270.666666666666,12,150140,12511.666666666666
양주시,39628,3302.3333333333335,12,39635,3302.9166666666665
양평군,14871,1239.25,12,30388,2532.3333333333335
여주시,10387,865.5833333333334,12,12383,1031.9166666666667
연천군,1860,155.0,12,1851,154.25
오산시,100822,8401.833333333334,12,100822,8401.833333333334
용인시,219688,18307.333333333332,12,262080,21840.0
의왕시,32953,2746.0833333333335,12,38362,3196.8333333333335
의정부시,133546,11128.833333333334,12,133678,11139.833333333334
이천시,64367,5363.916666666667,12,78321,6526.75
파주시,67197,5599.75,12,84883,7073.583333333333
평택시,294348,24529.0,12,346548,28879.0
포천시,15553,1296.0833333333333,12,16700,1391.6666666666667
하남시,48966,4080.5,12,57735,4811.25
화성시,225423,18785.25,12,225423,18785.25
